N,Distrito,TipodeContenedor,NombredelLugar,Direccin,Direccion_Completa,FuenteURL,latitude(GoogleMaps),Longitud(GoogleMaps)
1,Miraflores,Soterrado  Reciclaje,,Av. Diez Canseco cdra. 5,Av. Diez Canseco cdra. 5 con Av. Paseo de la Repblica,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
2,Miraflores,Soterrado  Reciclaje,,Av. Diez Canseco cdra. 6,Av. Diez Canseco cdra. 6 con Ca. Mariano Odicio,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
3,Miraflores,Soterrado  Reciclaje,,Av. Diez Canseco cdra. 7,Av. Diez Canseco cdra. 7 con Av. Ricardo Palma,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
4,Miraflores,Soterrado  Reciclaje,,Av. Ricardo Palma cdra. 13,Av. Ricardo Palma cdra. 13 con Ca. Almenara cdra. 3,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
5,Miraflores,Soterrado  Reciclaje,,Av. Jos Sabogal cdra. 2,Av. Jos Sabogal cdra. 2 con Ca. Luis Arias Schereiber cdra. 3,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
6,Miraflores,Soterrado  Reciclaje,,Ca. Cap. Philips Cuba cdra. 3,Ca. Cap. Philips Cuba cdra. 3 con Ca. Tec. Castillo cdra. 1,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
7,Miraflores,Metlico  Botellones,Complejo Deportivo Chino Vsquez,Malecn de la Marina cdra. 9,Malecn de la Marina cdra. 9 con Av. Federico Villareal,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
8,Miraflores,Metlico  Botellones,Skatepark Miraflores,Malecn de la Marina cdra. 9,Malecn de la Marina cdra. 9 con calle Manuel Tovar cdra. 1,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
9,Miraflores,Metlico  Botellones,Parque de los Nios,Alt. Malecn Cisneros cdra. 10,Alt. Malecn Cisneros cdra. 10,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
10,Miraflores,Metlico  Botellones,Parque Domodossola,Malecn de la Reserva cdra. 10,Malecn de la Reserva cdra. 10,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
11,Miraflores,Metlico  Botellones,Parque Clorinda Matto de Turner,Calle Scipin Llona cdra. 3,Calle Scipin Llona cdra. 3,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
12,Miraflores,Metlico  Tetrapak,Centro Promotor del Tenis,Malecn Cisneros cdra. 8,Malecn Cisneros cdra. 8,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
13,Miraflores,Metlico  Tetrapak,Tienda Races,Av. La Paz cdra. 1,Av. La Paz cdra. 1,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
14,Miraflores,Metlico  Tetrapak,Parque Intihuatana,Malecn de la Reserva cdra. 1,Malecn de la Reserva cdra. 1,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
15,Miraflores,AVU (Aceite Vegetal Usado),,Av. Mariscal La Mar cdra. 9,Av. Mariscal La Mar cdra. 9 con Av. Federico Villareal cdra. 2,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
16,Miraflores,AVU (Aceite Vegetal Usado),,Ca. General Borgoo cdra. 4,Ca. General Borgoo cdra. 4 con Ca. Piura (Pq. Solari),https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
17,Miraflores,AVU (Aceite Vegetal Usado),,Calle General Borgoo,Calle General Borgoo con Ca. Santa Mara (Pq. Santa Mara Pequea),https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
18,Miraflores,AVU (Aceite Vegetal Usado),,Ca. General Surez,Ca. General Surez con Ca. Sevilla (Pq. Clorinda Matto de Turner),https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
19,Miraflores,AVU (Aceite Vegetal Usado),,Av. La Paz con Ca. Acacias,Av. La Paz con Ca. Acacias,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
20,Miraflores,AVU (Aceite Vegetal Usado),,Av. Diez Canseco cdra. 7,Av. Diez Canseco cdra. 7 cerca al Parque Tradiciones,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
21,Miraflores,AVU (Aceite Vegetal Usado),,Ca. Ignacio de la Puente,Ca. Ignacio de la Puente con Ca. Jorge Buckley (Pq. Augusto B. Legua),https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
22,Miraflores,AVU (Aceite Vegetal Usado),,Cruce Av. Ricardo Palma,Cruce de las Avenidas Ricardo Palma con Ernesto Montagne,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
23,Miraflores,AVU (Aceite Vegetal Usado),,Cruce Av. Mariscal Castilla,Cruce de las Avenidas Mariscal Castilla con Luis Arias Schereiber,https://www.miraflores.gob.pe/ambiental/programa-basura-que-no-es-basura/,,
