population_density,income_stratum,fuel_expenditure_sol,edu_level_head,household_size_avg,nse_ab_pct,nse_de_pct,waste_per_capita_kg,pct_recyclable,pct_plastic,informal_recyclers_count,slope_pct,urbanized_area_pct,dist_nearest_recycling_m,recycling_density_1km,recycling_potential_index,road_density,dist_nearest_road_m,dist_to_market_m,has_park_300m,is_optimal,latitude,longitude,centroid_lat,centroid_lon,urbanization_rate,Distrito,num_households,nse_c_pct,walkability_score,poi_commercial_500m,poi_educational_500m,land_use_encoded,area_m2,district_id,poi_parks_500m,recycling_deficit,coverage_gap_index,accessibility_composite,nse_high_ratio
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,505.20554601232806,0,1971.7152,0.035,150.0,400.0,1,1,-12.1328968,-77.0255751,-12.1328968,-77.0255751,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,6857.733584795611,0,1971.7152,0.035,150.0,400.0,1,1,-12.176267,-76.9700756,-12.176267,-76.9700756,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1915.5819937411957,0,1971.7152,0.035,150.0,400.0,1,1,-12.116842,-77.0457066,-12.116842,-77.0457066,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,505.20554601232806,0,1971.7152,0.035,150.0,400.0,1,1,-12.128359,-77.0251316,-12.128359,-77.0251316,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,118.10401713493432,1,2549.184,0.035,150.0,400.0,1,1,-12.0919459,-77.0735278,-12.0919459,-77.0735278,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,118.10401713493432,1,2549.184,0.035,150.0,400.0,1,1,-12.0909253,-77.0731484,-12.0909253,-77.0731484,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,282.8068115632057,1,2549.184,0.035,150.0,400.0,1,1,-12.1041493,-77.0604552,-12.1041493,-77.0604552,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,97.335143956293,2,2549.184,0.035,150.0,400.0,1,1,-12.0907576,-77.0671131,-12.0907576,-77.0671131,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,97.335143956293,3,2549.184,0.035,150.0,400.0,1,1,-12.0916342,-77.0670845,-12.0916342,-77.0670845,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,197.291074814897,4,2549.184,0.035,150.0,400.0,1,1,-12.0928936,-77.0616674,-12.0928936,-77.0616674,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,0,0.0,0.6499999999999999,56.0
