candidate_id,dataset_version,label_version,label_status,is_suitable,candidate_origin,source_dataset,district_id,district_name,zone_id,population_density,num_households,nse_ab_pct,nse_c_pct,nse_de_pct,urbanization_rate,dist_nearest_road_m,walkability_score,poi_commercial_500m,poi_educational_500m,poi_parks_500m,land_use_encoded,area_m2,dist_nearest_recycling_m,recycling_density_1km,waste_per_capita_kg,coverage_gap_index,accessibility_composite,nse_high_ratio,recycling_deficit,is_optimal,suitability_score,evidence_summary,label_reason,review_notes
ECO-SIM-V03-0001,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,0,17777.0,1587,0.6622,0.377,0.0,0.7717,2.9,0.6904,42,5,0,0,91.6,160.3,0,0.922,0.0595,0.8104,0.6622,0,1,0.9631,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0002,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,1,14348.0,1358,0.8299,0.4626,0.0,0.9653,5.9,0.6824,47,4,0,2,42.8,414.8,3,0.518,0.215,0.8016,0.8299,0,0,0.9078,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0003,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,2,18913.7,1790,0.6644,0.3572,0.0,0.757,27.4,0.8916,40,1,1,0,180.6,112.3,3,0.683,0.228,0.8984,0.6644,0,1,0.9549,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0004,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,3,19398.4,1805,0.7738,0.4015,0.0,0.8078,11.2,0.956,36,1,1,0,57.8,775.1,3,0.645,0.5875,0.9586,0.7738,1,1,0.9573,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0005,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,4,12024.9,1144,0.6066,0.186,0.2074,0.7843,18.4,0.8679,29,4,2,2,134.1,656.9,2,0.635,0.8824,0.8963,0.6066,1,1,0.9792,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0006,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,5,13679.4,1469,0.6795,0.3461,0.0,0.9364,18.8,0.5308,41,5,2,1,118.2,83.1,3,0.633,0.0873,0.6935,0.6795,0,0,0.8479,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0007,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,6,17326.0,1591,0.605,0.2825,0.1125,0.7976,1.0,0.749,40,4,0,0,121.9,53.9,3,0.666,0.2645,0.8481,0.605,0,0,0.9458,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0008,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,7,16193.6,1910,0.6661,0.2525,0.0814,0.9686,66.2,0.6915,34,2,5,0,1212.9,452.9,2,0.777,0.2188,0.7266,0.6661,0,0,0.9529,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0009,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,8,16957.2,1978,0.784,0.2797,0.0,0.9075,121.7,0.8546,33,2,1,0,256.0,13.5,2,0.857,0.2396,0.7505,0.784,0,0,0.9503,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0010,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,9,14824.7,1471,0.5273,0.3233,0.1495,0.7587,20.5,0.8836,29,3,1,1,297.8,122.5,1,0.65,0.1994,0.9028,0.5273,0,0,0.9447,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
