zone_id,district_id,district_name,population_density,num_households,nse_ab_pct,nse_c_pct,nse_de_pct,urbanization_rate,dist_nearest_road_m,walkability_score,poi_commercial_500m,poi_educational_500m,poi_parks_500m,land_use_encoded,area_m2,dist_nearest_recycling_m,recycling_density_1km,waste_per_capita_kg,coverage_gap_index,accessibility_composite,nse_high_ratio,recycling_deficit,is_optimal,suitability_score
0,1,Miraflores,17777.0,1714,0.7338,0.3356,0.0,0.7544,4.5,0.3603,30,2,1,2,135.2,91.5,1,0.583,0.0296,0.6101,0.7338,0,1,0.5917
1,1,Miraflores,14348.0,1603,0.8407,0.3657,0.0,0.893,15.9,0.509,37,3,3,1,82.8,23.7,5,0.338,0.0309,0.6842,0.8407,0,0,0.3066
2,1,Miraflores,18913.7,1577,0.7091,0.4156,0.0,0.8055,21.6,0.7895,34,4,2,0,185.2,613.9,4,0.661,0.9662,0.8449,0.7091,1,0,0.7437
3,1,Miraflores,19398.4,1982,0.7644,0.3185,0.0,0.9597,41.0,0.7885,29,2,1,1,263.3,504.0,1,0.654,0.823,0.8184,0.7644,1,1,0.7755
4,1,Miraflores,12024.9,1347,0.495,0.3917,0.1133,0.8109,25.7,0.9879,50,2,0,0,54.7,173.9,2,0.677,0.0413,0.9585,0.495,0,1,0.612
5,1,Miraflores,13679.4,1600,0.6951,0.3287,0.0,0.8966,46.1,0.7602,38,5,0,2,97.6,433.4,1,0.966,0.0013,0.7947,0.6951,0,1,0.6106
6,1,Miraflores,17326.0,1956,0.6157,0.3406,0.0437,0.8828,4.6,0.6696,36,0,0,0,246.7,891.2,2,0.836,0.9639,0.7956,0.6157,1,1,0.7299
7,1,Miraflores,16193.6,1319,0.5781,0.4164,0.0055,0.8451,47.9,0.5158,33,3,0,0,176.5,75.3,2,0.768,0.0708,0.6457,0.5781,0,1,0.5987
8,1,Miraflores,16957.2,1609,0.6122,0.1906,0.1973,0.9126,73.8,0.8503,45,7,2,0,335.6,190.2,1,0.506,0.2401,0.8118,0.6122,0,1,0.7159
9,1,Miraflores,14824.7,1214,0.6666,0.2463,0.0871,0.9242,43.0,0.9568,33,1,1,1,92.6,44.1,2,0.573,0.2746,0.9167,0.6666,0,0,0.596
10,1,Miraflores,19242.5,1623,0.7916,0.2314,0.0,0.8861,11.6,0.7607,35,2,1,0,433.2,10.0,4,0.636,0.1218,0.841,0.7916,0,1,0.5893
11,1,Miraflores,18983.4,2031,0.5674,0.1633,0.2693,0.932,6.8,0.6102,34,0,0,2,94.9,69.0,3,0.534,0.1215,0.757,0.5674,0,0,0.4376
12,1,Miraflores,17168.4,1863,0.7031,0.2957,0.0012,0.986,9.5,0.7322,35,2,1,0,910.7,400.9,3,0.725,0.2137,0.8266,0.7031,0,1,0.5479
13,1,Miraflores,19874.5,2205,0.6516,0.41,0.0,0.8506,3.8,0.7248,41,5,2,0,62.0,317.3,2,0.704,0.1881,0.8298,0.6516,0,1,0.6308
14,1,Miraflores,18192.1,2085,0.6672,0.3272,0.0056,0.8735,32.8,0.8945,41,2,1,0,102.1,210.2,3,0.487,0.0552,0.893,0.6672,0,1,0.6282
15,1,Miraflores,14808.8,1622,0.8003,0.3658,0.0,0.753,23.9,0.5316,35,5,0,0,341.7,354.7,2,0.83,0.0323,0.6871,0.8003,0,1,0.4945
16,1,Miraflores,17940.3,2009,0.7538,0.4371,0.0,0.941,24.0,0.7416,42,1,0,3,926.5,753.5,3,0.665,0.972,0.813,0.7538,1,1,0.7369
17,1,Miraflores,14554.8,1192,0.8337,0.4562,0.0,0.8749,29.1,0.8047,35,2,0,0,314.8,334.8,1,0.391,0.1694,0.8441,0.8337,0,1,0.5701
18,1,Miraflores,19240.0,1719,0.6845,0.3445,0.0,0.8479,68.7,0.5373,39,6,1,3,383.9,555.6,2,0.642,0.5646,0.6308,0.6845,1,0,0.709
19,1,Miraflores,16872.7,1769,0.6304,0.4583,0.0,0.7726,2.0,0.878,47,7,1,0,248.1,255.3,2,0.692,0.088,0.9241,0.6304,0,0,0.6703
20,1,Miraflores,16528.6,1889,0.6776,0.3574,0.0,0.9635,15.3,0.774,29,4,2,0,107.6,18.0,0,0.796,0.0918,0.844,0.6776,0,1,0.7045
21,1,Miraflores,15263.6,1223,0.7242,0.283,0.0,0.8448,7.4,0.5957,42,2,0,0,165.3,213.0,2,0.599,0.0784,0.7475,0.7242,0,1,0.5871
22,1,Miraflores,20117.5,2023,0.7177,0.3024,0.0,0.9138,37.3,0.4667,39,5,1,0,92.8,783.1,3,0.774,0.9803,0.6303,0.7177,1,0,0.6588
23,1,Miraflores,16605.9,1778,0.5916,0.2316,0.1769,0.7858,63.7,0.2874,35,2,0,2,88.0,366.2,1,0.678,0.1959,0.4875,0.5916,0,0,0.5325
24,1,Miraflores,15907.8,1291,0.709,0.2789,0.012,0.9808,10.2,0.8068,38,7,0,1,337.4,1822.1,1,0.453,0.9133,0.8705,0.709,1,0,0.7628
25,1,Miraflores,16102.1,1546,0.7228,0.3214,0.0,0.7928,18.8,0.9378,31,8,2,0,99.6,398.1,4,0.438,0.0604,0.9376,0.7228,0,1,0.5529
26,1,Miraflores,18357.4,2126,0.95,0.4143,0.0,0.7979,1.4,0.5983,33,2,2,1,316.0,655.3,3,0.818,0.7687,0.757,0.95,1,1,0.7523
27,1,Miraflores,17931.9,1916,0.8877,0.4877,0.0,0.9562,19.0,0.2687,28,3,1,1,86.4,722.6,1,0.829,0.7228,0.5359,0.8877,1,1,0.8087
28,1,Miraflores,18052.5,1615,0.6147,0.2394,0.1459,0.969,11.1,0.2232,33,3,1,3,310.2,307.8,3,0.698,0.1438,0.5191,0.6147,0,0,0.6007
29,1,Miraflores,18098.6,2065,0.6713,0.3814,0.0,0.8009,29.1,0.574,33,4,0,3,165.5,258.6,3,0.874,0.0186,0.7056,0.6713,0,0,0.4964
30,1,Miraflores,22461.2,2109,0.5537,0.2668,0.1796,0.8628,20.1,0.5117,35,5,3,1,753.9,399.9,0,0.808,0.0774,0.6802,0.5537,0,1,0.7446
31,1,Miraflores,15963.6,1821,0.6409,0.388,0.0,0.926,48.4,0.5974,34,3,3,2,317.0,703.4,5,0.753,0.5873,0.6939,0.6409,1,1,0.6304
