feature,pearson_vs_target,spearman_vs_target,abs_pearson,n_valid,missing,unique_values,mean_when_target_0,mean_when_target_1
recycling_deficit,-0.6142857142857157,-0.6142857142857143,0.6142857142857157,54,0,2,0.9,0.2857142857142857
coverage_gap_index,-0.6142857142857157,-0.6142857142857143,0.6142857142857157,54,0,2,0.9,0.2857142857142857
recycling_density_1km,0.6049816090202651,0.6307499202564639,0.6049816090202651,54,0,6,0.15,1.7142857142857142
recycling_potential_index,0.5088474549952534,0.5088474549952513,0.5088474549952534,54,0,2,2072.7722400000002,2384.192914285715
population_density,0.5088474549952533,0.5088474549952513,0.5088474549952533,54,0,2,9355.5,11868.57142857143
poi_commercial_500m,-0.5088474549952526,-0.5088474549952513,0.5088474549952526,54,0,2,7.65,6.571428571428571
poi_educational_500m,-0.5088474549952526,-0.5088474549952513,0.5088474549952526,54,0,2,2.825,2.2857142857142856
nse_de_pct,0.5088474549952526,0.5088474549952513,0.5088474549952526,54,0,2,4.7,6.857142857142857
district_id,0.5088474549952526,0.5088474549952513,0.5088474549952526,54,0,2,1.175,1.7142857142857142
income_stratum,-0.5088474549952526,-0.5088474549952513,0.5088474549952526,54,0,2,4.825,4.285714285714286
household_size_avg,0.5088474549952526,0.5088474549952513,0.5088474549952526,54,0,2,2.8525,3.014285714285715
fuel_expenditure_sol,-0.5088474549952524,-0.5088474549952513,0.5088474549952524,54,0,2,63.25,57.857142857142854
waste_per_capita_kg,-0.5088474549952524,-0.5088474549952513,0.5088474549952524,54,0,2,0.7295,0.697142857142857
pct_recyclable,-0.5088474549952523,-0.5088474549952513,0.5088474549952523,54,0,2,30.71,29.19999999999999
nse_c_pct,0.5088474549952522,0.5088474549952513,0.5088474549952522,54,0,2,26.925,32.857142857142854
area_m2,-0.5088474549952521,-0.5088474549952513,0.5088474549952521,54,0,2,582.5,528.5714285714286
num_households,-0.5088474549952517,-0.5088474549952513,0.5088474549952517,54,0,2,26950.0,23714.285714285714
walkability_score,-0.5088474549952517,-0.5088474549952513,0.5088474549952517,54,0,2,0.79125,0.7642857142857142
pct_plastic,-0.5088474549952517,-0.5088474549952513,0.5088474549952517,54,0,2,12.1725,11.47142857142857
nse_ab_pct,-0.5088474549952514,-0.5088474549952513,0.5088474549952514,54,0,2,68.375,60.285714285714285
informal_recyclers_count,-0.5088474549952514,-0.5088474549952513,0.5088474549952514,54,0,2,12.95,9.714285714285714
nse_high_ratio,-0.5088474549952514,-0.5088474549952513,0.5088474549952514,54,0,2,68.375,60.285714285714285
edu_level_head,-0.5088474549952513,-0.5088474549952513,0.5088474549952513,54,0,2,5.43,5.214285714285714
accessibility_composite,-0.5088474549952507,-0.5088474549952513,0.5088474549952507,54,0,2,0.6747499999999998,0.6585714285714286
longitude,-0.31411103333690027,-0.34433490646725146,0.31411103333690027,54,0,54,-77.03452979344021,-77.05123620714286
latitude,0.2613493220230853,0.3470462049433716,0.2613493220230853,54,0,54,-12.116259730903533,-12.106635542857143
dist_nearest_recycling_m,-0.06642959765321609,-0.5151958071234446,0.06642959765321609,54,0,49,985.40390163193,840.6655313320213
slope_pct,,,,54,0,1,0.0,0.0
urbanized_area_pct,,,,54,0,1,95.0,95.0
road_density,,,,54,0,1,0.035,0.03500000000000002
dist_nearest_road_m,,,,54,0,1,150.0,150.0
dist_to_market_m,,,,54,0,1,400.0,400.0
has_park_300m,,,,54,0,1,1.0,1.0
centroid_lat,,,,14,40,14,,-12.106635542857143
centroid_lon,,,,14,40,14,,-77.05123620714286
urbanization_rate,,,,54,0,1,0.95,0.9499999999999996
land_use_encoded,,,,54,0,1,1.0,1.0
poi_parks_500m,,,,54,0,1,1.0,1.0
